
  
   Local          | Remote         | Time (UTC)          
  ----------------|----------------|---------------------
   20260112000000 | 20260112000000 | 2026-01-12 00:00:00 
   20260112000001 | 20260112000001 | 2026-01-12 00:00:01 
   20260112000002 | 20260112000002 | 2026-01-12 00:00:02 
   20260112000003 | 20260112000003 | 2026-01-12 00:00:03 
   20260112000004 | 20260112000004 | 2026-01-12 00:00:04 
   20260112000005 | 20260112000005 | 2026-01-12 00:00:05 
   20260112000006 | 20260112000006 | 2026-01-12 00:00:06 
   20260112000007 | 20260112000007 | 2026-01-12 00:00:07 
   20260112104004 | 20260112104004 | 2026-01-12 10:40:04 
   20260112104025 | 20260112104025 | 2026-01-12 10:40:25 
   20260112104030 | 20260112104030 | 2026-01-12 10:40:30 
   20260112104051 | 20260112104051 | 2026-01-12 10:40:51 
   20260112104100 | 20260112104100 | 2026-01-12 10:41:00 
   20260112105000 | 20260112105000 | 2026-01-12 10:50:00 
   20260112105001 | 20260112105001 | 2026-01-12 10:50:01 
   20260112110233 | 20260112110233 | 2026-01-12 11:02:33 
   20260113000000 | 20260113000000 | 2026-01-13 00:00:00 
   20260113010000 | 20260113010000 | 2026-01-13 01:00:00 
   20260113010001 | 20260113010001 | 2026-01-13 01:00:01 
   20260113020000 | 20260113020000 | 2026-01-13 02:00:00 
   20260113020001 | 20260113020001 | 2026-01-13 02:00:01 
   20260113030000 | 20260113030000 | 2026-01-13 03:00:00 
   20260113030001 | 20260113030001 | 2026-01-13 03:00:01 
   20260113030002 | 20260113030002 | 2026-01-13 03:00:02 
   20260114000000 | 20260114000000 | 2026-01-14 00:00:00 
   20260114050239 | 20260114050239 | 2026-01-14 05:02:39 
   20260115000000 | 20260115000000 | 2026-01-15 00:00:00 
   20260115000001 | 20260115000001 | 2026-01-15 00:00:01 
   20260115000002 | 20260115000002 | 2026-01-15 00:00:02 
   20260116000001 | 20260116000001 | 2026-01-16 00:00:01 
   20260116000002 | 20260116000002 | 2026-01-16 00:00:02 
   20260116000003 | 20260116000003 | 2026-01-16 00:00:03 
   20260116000004 | 20260116000004 | 2026-01-16 00:00:04 
   20260116000005 | 20260116000005 | 2026-01-16 00:00:05 
   20260116000006 | 20260116000006 | 2026-01-16 00:00:06 
   20260116000007 | 20260116000007 | 2026-01-16 00:00:07 
   20260116000008 | 20260116000008 | 2026-01-16 00:00:08 
   20260116000009 | 20260116000009 | 2026-01-16 00:00:09 
   20260116000010 | 20260116000010 | 2026-01-16 00:00:10 
   20260116000011 | 20260116000011 | 2026-01-16 00:00:11 
   20260116000012 | 20260116000012 | 2026-01-16 00:00:12 
   20260116000013 | 20260116000013 | 2026-01-16 00:00:13 
   20260116000014 | 20260116000014 | 2026-01-16 00:00:14 
   20260116080225 | 20260116080225 | 2026-01-16 08:02:25 
   20260117000001 | 20260117000001 | 2026-01-17 00:00:01 
   20260117000002 | 20260117000002 | 2026-01-17 00:00:02 
   20260117000003 | 20260117000003 | 2026-01-17 00:00:03 
   20260117000004 | 20260117000004 | 2026-01-17 00:00:04 

